"Mfr Part # "	"Manufacturer"	"Product Title"	"Product Description"	"Category"	"Price"	"Condition"	"MSRP"	"category"	"Product URL"	"Image URL"	"Stock Status"	"Promotional Message"
"R6232WB"	"Avianne & Co"	"14K White Gold Mens Diamond Ring 1.79 Ctw"	"This exquisite mens diamond ring is crafted in highly polished 14K white gold. Invisibly set princess cut white diamonds are framed 
in the center of the ring with a number of enhanced blue diamonds surrounding 
it. With a total of 1.79 ctw of VS1/VS2 diamonds, this ring shines with uniqueness and style. "	"Diamond Ring"	1250	"new"	3750	"Root Catalog>Root Catalog>Mens>Root Catalog>Mens>Rings>Root Catalog>Mens>Rings>Multi Colored Diamond Rings>Root Catalog>Mens>Rings>Mens Diamond Rings"	"http://www.avianneandco.com/store/catalog/product/view/id/201/s/14k-white-gold-mens-diamond-ring-1-79-ctw/"	"http://www.avianneandco.com/store/media/catalog/product//R/6/R6232WB_1.JPG"	"INSTOCK"	"Free Shipping via UPS on All Orders!"
"ER0337Y"	"Avianne & Co"	"14K Yellow Gold Cluster Yellow Diamond Stud Earrings 0.74 Ctw "	"These 14K yellow gold seven stone cluster earrings feature beautiful design. The prong setting holds seven yellow round cut diamonds, totaling to 0.74 ctw on both earrings. These flawless earrings are beautiful and stylish.  "	"Diamond Earring"	1334	"new"	4000	"Root Catalog>Root Catalog>Mens>Root Catalog>Mens>Earrings>Root Catalog>Womens>Root Catalog>Womens>Earrings>Root Catalog>Womens>Earrings>Colored Diamond Earrings>Root Catalog>Mens>Earrings>Multi Color Diamond Earrings>Root Catalog>Womens>Earrings>Womens Diamond Stud Earrings>Root Catalog>Mens>Earrings>Mens Diamond Earrings>Root Catalog>Womens>Earrings>Womens Diamond Earrings"	"http://www.avianneandco.com/store/catalog/product/view/id/219/s/14k-yellow-gold-unisex-stud-earrings-1-47-ctw/"	"http://www.avianneandco.com/store/media/catalog/product//E/R/ER0337Y_1.JPG"	"INSTOCK"	"Free Shipping via UPS on All Orders!"
"ER0037Y"	"Avianne & Co"	"14K Yellow Gold Yellow Diamond Stud Earrings 0.89 Ctw "	"These 14 karat Gold Diamond Stud Earrings features Flawless Princess cut yellow in color, SI1/SI2 in clarity precious stones, for a total carat weight of .89 carats. Sixteen princess cut yellow diamonds are invisibly set on each earring. The measurements of these  earrings are 1/4 inches (6mm) in width and length, for a total gram weight of approximately 3 grams. Ideal for both ladies and men for a very affordable price. "	"Diamond Earring"	584	"new"	1750	"Root Catalog>Root Catalog>Mens>Root Catalog>Mens>Earrings>Root Catalog>Womens>Root Catalog>Womens>Earrings>Root Catalog>Womens>Earrings>Colored Diamond Earrings>Root Catalog>Mens>Earrings>Multi Color Diamond Earrings>Root Catalog>Womens>Earrings>Womens Diamond Stud Earrings>Root Catalog>Mens>Earrings>Mens Diamond Earrings>Root Catalog>Womens>Earrings>Womens Diamond Earrings"	"http://www.avianneandco.com/store/catalog/product/view/id/220/s/14k-yellow-gold-unisex-stud-earrings-0-89-ctw/"	"http://www.avianneandco.com/store/media/catalog/product//E/R/ER0037Y_1.JPG"	"INSTOCK"	"Free Shipping via UPS on All Orders!"
11588	"Avianne & Co"	"14K White Gold Womens Diamond Pendant 0.95 Ctw "	"This distinctive 14 karat white gold diamond pendant is 0.95 carats of luminous diamonds. Prong set with round cut precious stones that are G/I in color SI1/SI2 in clarity. The pendant measures out to 3/8 inches (9mm) in width and 11/16 inches (17mm) in length including the bale. The total gram weight is approximately 3 grams. NOTE: The chain in the picture is for illustration purpose only and could be purchased separately. "	"Diamond Pendant"	1250	"new"	3750	"Root Catalog>Root Catalog>Womens>Root Catalog>Womens>Pendants>Root Catalog>Womens>Pendants>Womens Diamond Pendants"	"http://www.avianneandco.com/store/catalog/product/view/id/222/s/14k-white-gold-womens-diamond-pendant-0-95-ctw/"	"http://www.avianneandco.com/store/media/catalog/product//1/1/11588-1_1.jpg"	"INSTOCK"	"Free Shipping via UPS on All Orders!"
13268	"Avianne & Co"	"14K White Gold Mens Diamond Cufflinks 0.65 Ctw "	"These simple and elegant mens cuff links are crafted in polished 14K white gold. The centerpiece is set with round cut diamonds held by channel and prong settings. These cuff links shine with  brilliant stones which are are are G in color and VS1 in clarity. "	"Diamond Pendant"	792	"new"	2375	"Root Catalog>Mens>Root Catalog>Mens>Cufflinks"	"http://www.avianneandco.com/store/catalog/product/view/id/223/s/14k-white-gold-mens-diamond-cufflinks-0-65-ctw/"	"http://www.avianneandco.com/store/media/catalog/product//1/3/13268_1.JPG"	"INSTOCK"	"Free Shipping via UPS on All Orders!"
"E007B"	"Avianne & Co"	"14K White Gold Blue Diamond Stud Earrings 0.81 Ctw "	"These unisex earrings are crafted in highly polished 14K white gold.They feature brilliant invisibly set blue in color, SI1/SI2 in clarity precious princess cut stones, for a total carat weight of .81 carats. The length and width of the center piece measures to approximately 5/16 Inches, and they weigh 16 grams. Ideal for both men and women, these earrings portray uniqueness and sense of style. "	"Diamond Earring"	917	"new"	2750	"Root Catalog>Root Catalog>Mens>Root Catalog>Mens>Earrings>Root Catalog>Womens>Root Catalog>Womens>Earrings>Root Catalog>Womens>Earrings>Colored Diamond Earrings>Root Catalog>Mens>Earrings>Multi Color Diamond Earrings>Root Catalog>Womens>Earrings>Womens Diamond Stud Earrings>Root Catalog>Mens>Earrings>Mens Diamond Earrings>Root Catalog>Womens>Earrings>Womens Diamond Earrings"	"http://www.avianneandco.com/store/catalog/product/view/id/227/s/14k-white-gold-unisex-diamond-earrings-0-81-ctw/"	"http://www.avianneandco.com/store/media/catalog/product//e/0/e007b-1.jpg"	"INSTOCK"	"Free Shipping via UPS on All Orders!"
"R058"	"Avianne & Co"	"14K White Gold Womens Five Stone Diamond Anniversary Ring 0.34 Ctw"	"This 14K White Gold Diamond Anniversary Ring is shining with simplicity and elegance. The channel setting features five sparkling round cut diamonds. This band could be an ideal wedding or an anniversary gift."	"Diamond Ring"	384	"new"	1150	"Root Catalog>Wedding>Root Catalog>Wedding>Anniversary>Five-Stone Diamond Rings>Root Catalog>Wedding>Anniversary"	"http://www.avianneandco.com/store/catalog/product/view/id/229/s/14k-white-gold-womens-diamond-anniversary-ring-0-34-ctw/"	"http://www.avianneandco.com/store/media/catalog/product//r/0/r058-1_1.jpg"	"INSTOCK"	"Free Shipping via UPS on All Orders!"
"C10447"	"Avianne & Co"	"14K White Gold Womens Diamond Solitaire Pendant  0.15 ctw"	"This 14k gold womenâ€™s diamond pendant features a round cut prong set 0.15 ct diamond. This beautiful pendant comes with a chain. "	"Diamond Pendant"	384	"new"	1150	"Root Catalog>Womens>Root Catalog>Womens>Pendants>Root Catalog>Womens>Pendants>Womens Diamond Pendants"	"http://www.avianneandco.com/store/catalog/product/view/id/231/s/14k-white-gold-womens-diamond-pendant-0-15-ctw/"	"http://www.avianneandco.com/store/media/catalog/product//c/1/c10447-1.jpg"	"INSTOCK"	"Free Shipping via UPS on All Orders!"
"P5884"	"Avianne & Co"	"14KT White Gold Womens Diamond Pendant 0.74 Ctw"	"This 14k white gold cross pendant is remarkably brilliant! This white diamond cross pendant features a gorgeous 0.44 carats of round cut diamonds pave set into a 14k white gold frame. Perfect for any woman with a taste for luxury. This lovely diamond pendant comes with a beautiful chain. 
"	"Diamond Pendant"	859	"new"	2575	"Root Catalog>Root Catalog>Womens>Root Catalog>Womens>Pendants>Root Catalog>Womens>Pendants>Womens Diamond Crosses >Root Catalog>Womens>Pendants>Womens Diamond Pendants"	"http://www.avianneandco.com/store/catalog/product/view/id/234/s/14kt-white-gold-womens-diamond-pendant-0-74-ctw/"	"http://www.avianneandco.com/store/media/catalog/product//p/5/p5884-1.jpg"	"INSTOCK"	"Free Shipping via UPS on All Orders!"
"P170"	"Avianne & Co"	"14K White Gold Womens Diamond Heart Pendant 1.89 ctw"	"This beautiful heart pendant features 14K highly polished gold and dazzling 1.89 ctw. round cut diamonds in a pave and prong setting. This lovely diamond pendant is classy and regularly wearable."	"Diamond Pendant"	1350	"new"	4050	"Root Catalog>Womens>Root Catalog>Womens>Pendants>Root Catalog>Womens>Pendants>Womens Diamond Heart Pendants>Root Catalog>Womens>Pendants>Womens Diamond Pendants"	"http://www.avianneandco.com/store/catalog/product/view/id/236/s/14k-white-gold-womens-diamond-heart-pendant-1-89-ctw/"	"http://www.avianneandco.com/store/media/catalog/product//P/1/P170_1.jpg"	"INSTOCK"	"Free Shipping via UPS on All Orders!"
"RM300"	"Avianne & Co"	"14K White Gold Colored Diamond Engagement Ring 2.27 ctw"	"Very unique and delicate looking, this diamond engagement ring is sure to catch attention. Crafted in highly polished 14k gold and decorated with 2.27 carats of dazzling blue, yellow, and white princess and round cut diamonds. "	"Diamond Ring"	1667	"new"	5000	"Root Catalog>Wedding>Root Catalog>Wedding>Engagement>Root Catalog>Wedding>Engagement>Diamond Engagement Rings>Root Catalog>Wedding>Engagement>Princess Cut Engagement Ring"	"http://www.avianneandco.com/store/catalog/product/view/id/238/s/14k-white-gold-colored-diamond-engagement-ring-2-27-ctw/"	"http://www.avianneandco.com/store/media/catalog/product//r/m/rm300-1.jpg"	"INSTOCK"	"Free Shipping via UPS on All Orders!"
"R5920W"	"Avianne & Co"	"14K White Gold Mens Diamond Ring 0.57 Ctw "	"This simple and elegant mens diamond ring is crafted in 14K white gold. Carrying a total of 0.57 ctw, the center piece is set with brilliant VS1/VS2 invisibly set princess cut diamonds. The width of this center piece is approximately 18 mm. An ideal mens ring at a very affordable price. "	"Diamond Ring"	799	"new"	2375	"Root Catalog>Root Catalog>Mens>Root Catalog>Mens>Rings>Root Catalog>Mens>Rings>Mens Diamond Rings"	"http://www.avianneandco.com/store/catalog/product/view/id/239/s/14k-white-gold-mens-diamond-ring-0-57-ctw/"	"http://www.avianneandco.com/store/media/catalog/product//R/5/R5920W_2.JPG"	"INSTOCK"	"Free Shipping via UPS on All Orders!"
"R009"	"Avianne & Co"	"14K White Gold Mens Diamond Ring 2.17 Ctw "	" This masculine mens ring is crafted in 14K white gold.  Princess and Round cut Stones are VS2/SI1 in clarity and are invisibly and channel set in this regal design. The center piece measuring to 1 inch in width, carries a total weight of 2.17 carats of brilliant stones. "	"Diamond Ring"	1167	"new"	3500	"Root Catalog>Root Catalog>Mens>Root Catalog>Mens>Rings>Root Catalog>Mens>Rings>Mens Diamond Rings"	"http://www.avianneandco.com/store/catalog/product/view/id/240/s/14k-white-gold-mens-diamond-ring-2-17-ctw/"	"http://www.avianneandco.com/store/media/catalog/product//R/0/R009_2_2.jpg"	"INSTOCK"	"Free Shipping via UPS on All Orders!"
"R1113"	"Avianne & Co"	"14K White Gold Mens Diamond Ring 2.50 Ctw "	"Possessing unique design, this mens diamond ring is crafted in 14k white gold.  The center piece features brilliant invisibly set princess cut diamonds, totaling to 2.50 ctw. These stones are SI1/SI2 in clarity and G/H in color. "	"Diamond Ring"	1659	"new"	4975	"Root Catalog>Root Catalog>Mens>Root Catalog>Mens>Rings>Root Catalog>Mens>Rings>Mens Diamond Rings"	"http://www.avianneandco.com/store/catalog/product/view/id/242/s/14k-white-gold-mens-diamond-ring-2-50-ctw/"	"http://www.avianneandco.com/store/media/catalog/product//r/1/r1113-1.jpg"	"INSTOCK"	"Free Shipping via UPS on All Orders!"
"RM405"	"Avianne & Co"	"14K White Gold Mens Diamond Ring 1.75 Ctw"	"This marvelous 14k white gold menâ€™s diamond ring possesses a unique design and a blinding luster. This ring features brilliant princess cut precious stones that are invisibly set. The sparkling round cut diamonds are pave set on both sides of the band. Totaling to 1.75 Ctw, these stones are H/I in color and SI1/SI3 in clarity. This is an ideal mens fashion ring which portrays uniqueness and beauty. "	"Diamond Ring"	1625	"new"	4875	"Root Catalog>Root Catalog>Mens>Root Catalog>Mens>Rings>Root Catalog>Mens>Rings>Mens Diamond Rings"	"http://www.avianneandco.com/store/catalog/product/view/id/244/s/14k-white-gold-mens-diamond-ring-1-75-ctw/"	"http://www.avianneandco.com/store/media/catalog/product//R/M/RM405_2.JPG"	"INSTOCK"	"Free Shipping via UPS on All Orders!"
"RM292"	"Avianne & Co"	"14K White Gold Mens Blue and Yellow Diamond Ring 1.29 Ctw"	"Crafted in 14K white gold, this mens ring possesses very unique and simple style. The center piece consists of four screw motif designs with invisibly set princess cut yellow, blue and white diamonds. Both sides of the band feature pave set round cut diamonds in these three colors. Carrying a total carat weight of 1.29 ct, this ring weighs approximately 15 grams. "	"Diamond Ring"	1042	"new"	3125	"Root Catalog>Root Catalog>Mens>Root Catalog>Mens>Rings>Root Catalog>Mens>Rings>Multi Colored Diamond Rings>Root Catalog>Mens>Rings>Mens Diamond Rings"	"http://www.avianneandco.com/store/catalog/product/view/id/249/s/14k-white-gold-mens-diamond-ring-1-29-ctw/"	"http://www.avianneandco.com/store/media/catalog/product//R/M/RM292_2.JPG"	"INSTOCK"	"Free Shipping via UPS on All Orders!"
"RM295YB"	"Avianne & Co"	"14K White Gold Mens Blue and Yellow Diamond Ring 1.13 Ctw "	"Crafted in highly polished 14K white gold, this mens ring features brilliant blue, white and yellow diamonds. The center piece consists of two screw motif designs with four princess cut diamonds in the center and a number of yellow round cut diamonds on both sides. Two sides of the band are highlighted with pave set blue round cut diamonds. This fashionable mens ring carries a total carat weight of 1.13 ctw and weighs approximately 11 grams. "	"Diamond Ring"	1367	"new"	4100	"Root Catalog>Root Catalog>Mens>Root Catalog>Mens>Rings>Root Catalog>Mens>Rings>Multi Colored Diamond Rings>Root Catalog>Mens>Rings>Mens Diamond Rings"	"http://www.avianneandco.com/store/catalog/product/view/id/254/s/14k-white-gold-mens-diamond-ring-1-13-ctw/"	"http://www.avianneandco.com/store/media/catalog/product//R/M/RM295YB_2.JPG"	"INSTOCK"	"Free Shipping via UPS on All Orders!"
"R5460B"	"Avianne & Co"	"14K White Gold Mens Blue Diamond Ring 0.90 Ctw "	"This featured 14 karat white gold diamond ring is simple yet very refined. Featuring blue in color SI1/SI3 in clarity diamonds that are channel set in this regal design. The total carat weight of this  ring is 0.90 carats of sparkling precious stones. The width of the center piece is approximately 10mm. .This is an ideal ring for those who appreciate uniqueness and simplicity. "	"Diamond Ring"	717	"new"	2150	"Root Catalog>Root Catalog>Mens>Root Catalog>Mens>Rings>Root Catalog>Mens>Rings>Multi Colored Diamond Rings>Root Catalog>Mens>Rings>Mens Diamond Rings"	"http://www.avianneandco.com/store/catalog/product/view/id/255/s/14k-white-gold-mens-diamond-ring-0-90-ctw/"	"http://www.avianneandco.com/store/media/catalog/product//i/m/im-2_64.jpg"	"INSTOCK"	"Free Shipping via UPS on All Orders!"
"ER0338YR"	"Avianne & Co"	"14K Rose Gold Cluster Yellow Diamond Stud Earrings 1.27 Ctw "	"These cluster diamond earring studs are crafted in highly polished 14K rose gold. Each earring  holds seven brilliant yellow round cut diamonds on a prong setting. Lovely in appearance, these beautiful studs  total to 1.27 carats and weigh approximately 3 grams. These are are ideal for both men and women. "	"Diamond Earring"	919	"new"	2750	"Root Catalog>Root Catalog>Mens>Root Catalog>Mens>Earrings>Root Catalog>Womens>Root Catalog>Womens>Earrings>Root Catalog>Womens>Earrings>Colored Diamond Earrings>Root Catalog>Mens>Earrings>Multi Color Diamond Earrings>Root Catalog>Womens>Earrings>Womens Diamond Stud Earrings>Root Catalog>Mens>Earrings>Mens Diamond Earrings>Root Catalog>Womens>Earrings>Womens Diamond Earrings"	"http://www.avianneandco.com/store/catalog/product/view/id/256/s/14k-yellow-gold-unisex-earrings-1-27-ctw/"	"http://www.avianneandco.com/store/media/catalog/product//E/R/ER0338Y_1.JPG"	"INSTOCK"	"Free Shipping via UPS on All Orders!"
"ER0227"	"Avianne & Co"	"14K White Gold Yellow Diamond Stud Earrings 0.55 Ctw "	"These simple yet very appealing diamond earring studs are crafted in 14k white gold. Four yellow princess cut diamonds are invisibly set in the center of each earring. Totaling to 2.3 grams, these earrings carry a total weight of 0.55 carats. Ideal men and women studs at an affordable price. "	"Diamond Earring"	234	"new"	700	"Root Catalog>Root Catalog>Mens>Root Catalog>Mens>Earrings>Root Catalog>Womens>Root Catalog>Womens>Earrings>Root Catalog>Womens>Earrings>Colored Diamond Earrings>Root Catalog>Mens>Earrings>Multi Color Diamond Earrings>Root Catalog>Womens>Earrings>Womens Diamond Stud Earrings>Root Catalog>Mens>Earrings>Mens Diamond Earrings>Root Catalog>Womens>Earrings>Womens Diamond Earrings"	"http://www.avianneandco.com/store/catalog/product/view/id/257/s/14k-white-gold-unisex-earrings-0-55-ctw/"	"http://www.avianneandco.com/store/media/catalog/product//E/R/ER0227_1.JPG"	"INSTOCK"	"Free Shipping via UPS on All Orders!"
"ER0226"	"Avianne & Co"	"14K White Gold Yellow Diamond Stud Earrings 0.51 Ctw "	"These simple yet very appealing diamond stud earrings are crafted in 14k white gold. Four yellow princess cut diamonds are invisibly set in the center of each earring. Totaling to 2.3 grams, these earrings carry a total weight of 0.51 carats. These affordable studs are ideal for both men and women. "	"Diamond Earring"	359	"new"	1075	"Root Catalog>Root Catalog>Mens>Root Catalog>Mens>Earrings>Root Catalog>Womens>Root Catalog>Womens>Earrings>Root Catalog>Womens>Earrings>Colored Diamond Earrings>Root Catalog>Mens>Earrings>Multi Color Diamond Earrings>Root Catalog>Womens>Earrings>Womens Diamond Stud Earrings>Root Catalog>Mens>Earrings>Mens Diamond Earrings>Root Catalog>Womens>Earrings>Womens Diamond Earrings"	"http://www.avianneandco.com/store/catalog/product/view/id/258/s/14k-white-gold-unisex-earrings-0-51-ctw/"	"http://www.avianneandco.com/store/media/catalog/product//E/R/ER0226_2.JPG"	"INSTOCK"	"Free Shipping via UPS on All Orders!"
"P0014"	"Avianne & Co"	"14K White Gold Womens Diamond Heart Pendant 0.10 ctw"	"This 14k white gold womenâ€™s diamond heart pendant features a 0.10 carat of round cut bezel set diamond. This lovely diamond pendant comes with a matching white gold chain."	"Diamond Pendant"	267	"new"	800	"Root Catalog>Womens>Root Catalog>Womens>Pendants>Root Catalog>Womens>Pendants>Womens Diamond Heart Pendants>Root Catalog>Womens>Pendants>Womens Diamond Pendants"	"http://www.avianneandco.com/store/catalog/product/view/id/260/s/14k-white-gold-womens-diamond-pendant-0-10-ctw/"	"http://www.avianneandco.com/store/media/catalog/product//p/0/p0014-1_1.jpg"	"INSTOCK"	"Free Shipping via UPS on All Orders!"
"R244W"	"Avianne & Co"	"14K White Gold Diamond Engagement Ring 1.33 Ctw"	"This fashion display of beauty is crafted in 14K white gold. The diamonds are H/I in color and SI1/SI3 in clarity. This ring features an invisible, pave, and bezel setting. These precious stones are princess, round and baguette cut in this regal design, with the total carat weight of 1.33 carats. This gorgeous engagement ring weighs approximately 7.8 grams. "	"Diamond Ring"	1317	"new"	3950	"Root Catalog>Wedding>Root Catalog>Wedding>Engagement>Root Catalog>Wedding>Engagement>Diamond Engagement Rings>Root Catalog>Wedding>Engagement>Princess Cut Engagement Ring"	"http://www.avianneandco.com/store/catalog/product/view/id/262/s/14k-white-gold-womens-engagement-ring-1-33-ctw/"	"http://www.avianneandco.com/store/media/catalog/product//r/2/r244w-1.jpg"	"INSTOCK"	"Free Shipping via UPS on All Orders!"
